,time,follower_count
0,3/3/19 8:07 AM,5852754
0,3/3/19 9:07 AM,5853030
0,3/3/19 10:07 AM,5853319
0,3/3/19 11:07 AM,5853636
0,3/3/19 12:07 PM,5853973
0,3/3/19 1:07 PM,5854499
0,3/3/19 2:07 PM,5856331
0,3/3/19 3:07 PM,5858093
