,time,follower_count
0,3/3/19 8:07,13550404
0,3/3/19 9:07,13552825
0,3/3/19 10:07,13554973
0,3/3/19 11:07,13557388
0,3/3/19 12:07,13559748
0,3/3/19 13:07,13562387
0,3/3/19 14:07,13564810
0,3/3/19 15:07,13566915
